iter	Passed	Remaining
0	0	91
1	1	87
2	2	86
3	3	83
4	4	85
5	5	83
6	6	91
7	7	89
8	8	87
9	9	86
10	10	84
11	11	82
12	12	82
13	13	81
14	14	80
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	79	10
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
