element,value
model,Naive_bayes
classifier_details,GaussianNB()
fold,0
train_auc,0.6174104250428238
test_auc,0.6050426136363636
train_accuracy,0.5769911504424778
test_accuracy,0.5518867924528302
train_precision,0.7115869017632241
test_precision,0.7032967032967034
train_recall,0.5365622032288699
test_recall,0.4848484848484848
train_true_positives,565
test_true_positives,128
train_true_negatives,413
test_true_negatives,106
train_false_positives,229
test_false_positives,54
train_false_negatives,488
test_false_negatives,136
