model,classifier_details,fold,train_auc,test_auc,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_true_positives,test_true_positives,train_true_negatives,test_true_negatives,train_false_positives,test_false_positives,train_false_negatives,test_false_negatives
Logistic_regression,LogisticRegression(max_iter=100000),0,0.6748290746213903,0.609469696969697,0.6454277286135693,0.6367924528301887,0.6605113636363636,0.6544943820224719,0.8831908831908832,0.8825757575757576,930,233,164,37,478,123,123,31
Logistic_regression,LogisticRegression(max_iter=100000),1,0.6576108019514042,0.676751893939394,0.6348082595870207,0.6580188679245284,0.6519607843137255,0.6666666666666666,0.8841405508072174,0.9015151515151515,931,238,145,41,497,119,122,26
Logistic_regression,LogisticRegression(max_iter=100000),2,0.6651135115613352,0.6520794464256194,0.6395280235988201,0.6367924528301887,0.655438596491228,0.6543909348441926,0.8861480075901328,0.8783269961977186,934,231,150,39,491,122,120,32
Logistic_regression,LogisticRegression(max_iter=100000),3,0.6639427246919098,0.6502373473773705,0.6330383480825958,0.6320754716981132,0.6502086230876217,0.6524216524216524,0.8870967741935484,0.870722433460076,935,229,138,39,503,122,119,34
Logistic_regression,LogisticRegression(max_iter=100000),4,0.6712080370284985,0.641967680608365,0.6415094339622641,0.6122931442080378,0.6586059743954481,0.6327077747989276,0.8785578747628083,0.8973384030418251,926,236,162,23,480,137,128,27
Random_forest,"RandomForestClassifier(min_samples_leaf=10, n_estimators=200)",0,0.9751252170774497,0.8709517045454546,0.9144542772861357,0.7665094339622641,0.8982456140350877,0.7652733118971061,0.9724596391263058,0.9015151515151515,1024,238,526,87,116,73,29,26
Random_forest,"RandomForestClassifier(min_samples_leaf=10, n_estimators=200)",1,0.979197545656528,0.8710464015151514,0.912094395280236,0.7759433962264151,0.8944153577661431,0.7699680511182109,0.97340930674264,0.9128787878787878,1025,241,521,88,121,72,28,23
Random_forest,"RandomForestClassifier(min_samples_leaf=10, n_estimators=200)",2,0.9775182278638394,0.8775712632548474,0.9014749262536873,0.7594339622641509,0.883982683982684,0.7605177993527508,0.9686907020872866,0.8935361216730038,1021,235,507,87,134,74,33,28
Random_forest,"RandomForestClassifier(min_samples_leaf=10, n_estimators=200)",3,0.9765309777476487,0.8649835864251472,0.9132743362831859,0.7924528301886793,0.9045495093666369,0.7966101694915254,0.9620493358633776,0.8935361216730038,1014,235,534,101,107,60,40,28
Random_forest,"RandomForestClassifier(min_samples_leaf=10, n_estimators=200)",4,0.9803965903515461,0.8821292775665399,0.9097877358490566,0.7659574468085106,0.8893690579083837,0.75625,0.976280834914611,0.9201520912547528,1029,242,514,82,128,78,25,21
Support_vector_classifier,SVC(probability=True),0,0.7034411398378169,0.6340909090909091,0.6389380530973451,0.6438679245283019,0.6365325077399381,0.6395061728395062,0.976258309591643,0.9810606060606061,1028,259,55,14,587,146,25,5
Support_vector_classifier,SVC(probability=True),1,0.6954111232408222,0.6975260416666667,0.6442477876106195,0.6226415094339622,0.6387176325524044,0.6274509803921569,0.9838556505223172,0.9696969696969697,1036,256,56,8,586,152,17,8
Support_vector_classifier,SVC(probability=True),2,0.7008365723623252,0.6759676924166922,0.6430678466076696,0.6367924528301887,0.6407523510971787,0.6365914786967418,0.969639468690702,0.9657794676806084,1022,254,68,16,573,145,32,9
Support_vector_classifier,SVC(probability=True),3,0.6986296909181869,0.675601634272489,0.6330383480825958,0.6367924528301887,0.6307506053268765,0.6332518337408313,0.9886148007590133,0.9847908745247148,1042,259,31,11,610,150,12,4
Support_vector_classifier,SVC(probability=True),4,0.7053326003298516,0.6319985741444867,0.6438679245283019,0.6122931442080378,0.6400996264009963,0.6216216216216216,0.9753320683111955,0.9619771863117871,1028,253,64,6,578,154,26,10
XGBoost,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",0,1.0,0.9270833333333333,1.0,0.8419811320754716,1.0,0.8432055749128919,1.0,0.9166666666666666,1053,242,642,115,0,45,0,22
XGBoost,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",1,1.0,0.9173768939393938,1.0,0.8372641509433962,1.0,0.851985559566787,1.0,0.8939393939393939,1053,236,642,119,0,41,0,28
XGBoost,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",2,1.0,0.9206480409985122,1.0,0.875,1.0,0.8776978417266187,1.0,0.9277566539923955,1054,244,641,127,0,34,0,19
XGBoost,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",3,1.0,0.917011076210944,1.0,0.8655660377358491,1.0,0.8992248062015504,1.0,0.8821292775665399,1054,232,641,135,0,26,0,31
XGBoost,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",4,1.0,0.9032794676806083,1.0,0.8628841607565012,1.0,0.8782287822878229,1.0,0.9049429657794676,1054,238,642,127,0,33,0,25
K_nearest_neighbors,KNeighborsClassifier(),0,0.9079103466434723,0.7770123106060606,0.8365781710914454,0.7523584905660378,0.842756183745583,0.7809187279151943,0.905982905982906,0.8371212121212122,954,221,464,98,178,62,99,43
K_nearest_neighbors,KNeighborsClassifier(),1,0.9119212870510897,0.7410037878787878,0.8501474926253687,0.6933962264150944,0.853852967227635,0.7263513513513513,0.9154795821462488,0.8143939393939394,964,215,477,79,165,81,89,49
K_nearest_neighbors,KNeighborsClassifier(),2,0.910366718274044,0.7470774390099899,0.8407079646017699,0.7028301886792453,0.8469026548672567,0.7472924187725631,0.9079696394686907,0.7870722433460076,957,207,468,91,173,70,97,56
K_nearest_neighbors,KNeighborsClassifier(),3,0.9010633290606767,0.7744373332073778,0.8306784660766962,0.7358490566037735,0.8378854625550661,0.7542087542087542,0.9022770398481973,0.8517110266159695,951,224,457,88,184,73,103,39
K_nearest_neighbors,KNeighborsClassifier(),4,0.9044221095130845,0.7635693916349809,0.839622641509434,0.7163120567375887,0.8405923344947736,0.7440273037542662,0.9155597722960152,0.8288973384030418,965,218,459,85,183,75,89,45
Gradient_boosting,GradientBoostingClassifier(),0,0.9550401907618937,0.8252249053030303,0.8643067846607669,0.7452830188679245,0.838126540673788,0.7468354430379747,0.9686609686609686,0.8939393939393939,1020,236,445,80,197,80,33,28
Gradient_boosting,GradientBoostingClassifier(),1,0.9548323585187553,0.8229166666666665,0.8643067846607669,0.7358490566037735,0.8386831275720165,0.7375,0.9677113010446344,0.8939393939393939,1019,236,446,76,196,84,34,28
Gradient_boosting,GradientBoostingClassifier(),2,0.9540432850710613,0.853281534137874,0.8678466076696165,0.7476415094339622,0.8499156829679595,0.7582781456953642,0.9563567362428842,0.870722433460076,1008,229,463,88,178,73,46,34
Gradient_boosting,GradientBoostingClassifier(),3,0.9571204859579582,0.8506010438561273,0.8613569321533924,0.7641509433962265,0.8403990024937655,0.770764119601329,0.959203036053131,0.8821292775665399,1011,232,449,92,192,69,43,31
Gradient_boosting,GradientBoostingClassifier(),4,0.9548995962569533,0.8348384030418251,0.8691037735849056,0.7659574468085106,0.8466666666666667,0.759493670886076,0.9639468690702088,0.9125475285171103,1016,240,458,84,184,76,38,23
Naive_bayes,GaussianNB(),0,0.6174104250428238,0.6050426136363636,0.5769911504424778,0.5518867924528302,0.7115869017632241,0.7032967032967034,0.5365622032288699,0.48484848484848486,565,128,413,106,229,54,488,136
Naive_bayes,GaussianNB(),1,0.6307405336481141,0.6067234848484848,0.6041297935103245,0.5754716981132075,0.7200460829493087,0.6842105263157895,0.5935422602089269,0.5909090909090909,625,156,399,88,243,72,428,108
Naive_bayes,GaussianNB(),2,0.613592968766189,0.6350282219020853,0.5740412979351033,0.6108490566037735,0.7014563106796117,0.7425742574257426,0.5483870967741935,0.5703422053231939,578,150,395,109,246,52,476,113
Naive_bayes,GaussianNB(),3,0.6225167033246795,0.6008549228916231,0.5823008849557522,0.6037735849056604,0.7040094339622641,0.7294685990338164,0.5664136622390892,0.5741444866920152,597,151,390,105,251,56,457,112
Naive_bayes,GaussianNB(),4,0.6136938646426313,0.6226235741444868,0.5807783018867925,0.5484633569739953,0.7157232704402515,0.6836734693877551,0.5398481973434535,0.5095057034220533,569,134,416,98,226,62,485,129
Balanced_random_forest,"BalancedRandomForestClassifier(bootstrap=False, n_estimators=200,
                               replacement=True, sampling_strategy='all')",0,0.9999999999999999,0.9336529356060606,0.9982300884955753,0.8443396226415094,1.0,0.8639705882352942,0.9971509971509972,0.8901515151515151,1050,235,642,123,0,37,3,29
Balanced_random_forest,"BalancedRandomForestClassifier(bootstrap=False, n_estimators=200,
                               replacement=True, sampling_strategy='all')",1,1.0,0.9276041666666666,0.9994100294985251,0.8655660377358491,1.0,0.9058823529411765,0.9990503323836657,0.875,1052,231,642,136,0,24,1,33
Balanced_random_forest,"BalancedRandomForestClassifier(bootstrap=False, n_estimators=200,
                               replacement=True, sampling_strategy='all')",2,1.0,0.9325154098670383,0.9988200589970502,0.8702830188679245,1.0,0.9126984126984127,0.9981024667931688,0.8745247148288974,1052,230,641,139,0,22,2,33
Balanced_random_forest,"BalancedRandomForestClassifier(bootstrap=False, n_estimators=200,
                               replacement=True, sampling_strategy='all')",3,1.0,0.9297640696218973,0.9988200589970502,0.8514150943396226,1.0,0.8968253968253969,0.9981024667931688,0.8593155893536122,1052,226,641,135,0,26,2,37
Balanced_random_forest,"BalancedRandomForestClassifier(bootstrap=False, n_estimators=200,
                               replacement=True, sampling_strategy='all')",4,1.0,0.9245960076045628,0.9982311320754716,0.8628841607565012,1.0,0.9019607843137255,0.9971537001897534,0.8745247148288974,1051,230,642,135,0,25,3,33
AdaBoost,AdaBoostClassifier(algorithm='SAMME'),0,0.6817467079668534,0.6191879734848484,0.6613569321533923,0.6462264150943396,0.6692579505300353,0.6619318181818182,0.899335232668566,0.8825757575757576,947,233,174,41,468,119,106,31
AdaBoost,AdaBoostClassifier(algorithm='SAMME'),1,0.7281502486590753,0.669625946969697,0.6831858407079646,0.6509433962264151,0.6776859504132231,0.6611111111111111,0.9344729344729344,0.9015151515151515,984,238,174,38,468,122,69,26
AdaBoost,AdaBoostClassifier(algorithm='SAMME'),2,0.70004618021533,0.6707247951255226,0.6737463126843658,0.6509433962264151,0.6795698924731183,0.6706231454005934,0.8994307400379506,0.8593155893536122,948,226,194,50,447,111,106,37
AdaBoost,AdaBoostClassifier(algorithm='SAMME'),3,0.6822505158270847,0.6371301041494463,0.6654867256637168,0.6485849056603774,0.6837735849056604,0.678125,0.8595825426944972,0.8250950570342205,906,217,222,58,419,103,148,46
AdaBoost,AdaBoostClassifier(algorithm='SAMME'),4,0.692671295228975,0.6787666349809885,0.6739386792452831,0.6619385342789598,0.6762843068261788,0.6639344262295082,0.9117647058823529,0.9239543726235742,961,243,182,37,460,123,93,20
