iter	Logloss
0	0.6790493883
1	0.6572874042
2	0.6418540797
3	0.6300891751
4	0.6199135921
5	0.6063990768
6	0.597561206
7	0.585337802
8	0.5775176226
9	0.5726409115
10	0.5666346906
11	0.5562550314
12	0.5503684584
13	0.5435212413
14	0.5378161813
15	0.5339271859
16	0.529288664
17	0.5258044252
18	0.5219608608
19	0.5182405992
20	0.5117361453
21	0.5070975919
22	0.5021529255
23	0.4985923297
24	0.49384202
25	0.4913488491
26	0.4902159351
27	0.4832391716
28	0.4817047825
29	0.4786542396
30	0.4766820214
31	0.4759213108
32	0.4723155331
33	0.4663088835
34	0.4648372031
35	0.4612183593
36	0.4590893076
37	0.4568982804
38	0.4510067901
39	0.4488280694
40	0.4468548973
41	0.4426601719
42	0.4388446049
43	0.4370687639
44	0.4353808005
45	0.4318981781
46	0.4304193067
47	0.4286979618
48	0.4253115192
49	0.4245701857
50	0.4220971254
51	0.419818555
52	0.4172198954
53	0.4135749343
54	0.4110132475
55	0.4090295582
56	0.4038416604
57	0.4001596201
58	0.3970473345
59	0.3943324794
60	0.3936505092
61	0.3904368025
62	0.3851598351
63	0.3830944753
64	0.3818235524
65	0.3785591641
66	0.3763115863
67	0.374401017
68	0.3698760796
69	0.3674756041
70	0.3664475918
71	0.3638952457
72	0.3621934567
73	0.3603587573
74	0.3576454222
75	0.3551332929
76	0.3537002414
77	0.3529226451
78	0.3510008648
79	0.3474368221
80	0.3456188664
81	0.3443227135
82	0.3421748195
83	0.340068639
84	0.3392338305
85	0.3377741639
86	0.3363582163
87	0.3339191093
88	0.3332880233
89	0.3309177532
90	0.3293382251
91	0.3271967697
92	0.3243318199
93	0.3222134244
94	0.3205146211
95	0.3186934024
96	0.3167592641
97	0.3117670533
98	0.3087208843
99	0.3059383359
