iter	Passed	Remaining
0	0	95
1	1	90
2	2	88
3	3	86
4	4	84
5	5	82
6	6	82
7	7	80
8	7	78
9	8	76
10	9	75
11	10	74
12	11	73
13	11	72
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	52
39	34	51
40	34	50
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
